user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_money_other_brokers,mifid_invested_other_brokers,mifid_experience,has_linked_account,linked_account_days,has_demo_account,demo_account_days,has_demo_trade,demo_trade_days,has_mock_account,mock_account_days,user_flow_name,days_until_conversion_or_today,is_converted
USD,40,0.0,0,,0,,0,1,13,13,1,1,13,1,0,,0,,0,,0,,2,12,0
USD,43,1.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,13,0
EUR,46,0.0,1,3.0,1,6.0,2,5,8,8,1,1,8,1,0,,0,,0,,0,,2,13,0
USD,100,0.0,0,,0,,0,1,13,5,1,0,0,0,0,,0,,0,,0,,2,13,0
USD,114,0.0,0,,0,,0,1,13,13,1,1,13,1,0,,0,,0,,0,,2,13,0
USD,46,7.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,13,0
USD,8,0.0,0,,0,,0,1,13,13,1,0,0,0,0,,0,,0,,0,,2,13,0
USD,125,0.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,13,0
USD,111,0.0,1,2.0,0,,0,1,12,12,1,1,12,0,0,,0,,0,,0,,2,13,0
EUR,46,0.0,0,,0,,0,1,13,8,0,1,7,0,0,,0,,0,,0,,0,13,0
USD,31,0.0,1,2.0,0,,0,1,12,13,1,0,0,1,0,,0,,0,,0,,2,13,0
USD,111,0.0,1,2.0,0,,0,1,6,6,1,0,0,0,0,,0,,0,,0,,2,13,0
EUR,50,0.0,1,2.0,0,,0,1,13,13,1,1,12,1,0,,0,,0,,0,,2,13,0
USD,31,4.0,0,,0,,0,1,12,13,1,0,0,0,0,,0,,0,,0,,0,13,0
EUR,46,0.0,1,2.0,0,,0,1,12,12,1,1,12,0,0,,0,,0,,0,,2,13,0
EUR,46,0.0,1,3.0,1,3.0,2,0,13,13,1,0,0,1,0,,0,,0,,0,,2,3,1
USD,31,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0,13,0
USD,28,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,13,0
USD,160,0.0,0,,0,,0,1,7,5,1,1,7,1,0,,0,,0,,0,,2,13,0
USD,41,0.0,0,,0,,0,1,6,8,0,0,0,0,0,,0,,0,,0,,2,13,0
USD,100,1.0,1,7.0,0,,0,1,7,8,1,1,5,1,0,,0,,0,,0,,1,14,0
USD,111,13.0,1,13.0,0,,0,1,5,7,1,1,13,0,0,,0,,0,,0,,2,14,0
USD,32,6.0,1,10.0,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,14,0
USD,100,0.0,0,,0,,0,1,12,13,0,0,0,0,0,,0,,0,,0,,2,14,0
EUR,46,0.0,1,0.0,1,7.0,40,5,8,8,1,1,8,1,0,,0,,0,,0,,2,14,0
EUR,132,0.0,1,0.0,1,6.0,48,5,8,10,1,1,9,1,0,,0,,0,,0,,2,14,0
USD,100,0.0,0,,0,,0,1,11,11,1,1,15,1,0,,0,,0,,0,,2,14,0
USD,12,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,14,0
EUR,28,0.0,1,0.0,0,,0,1,5,13,0,0,0,0,0,,0,,0,,0,,2,14,0
USD,32,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,14,0
USD,41,5.0,0,,0,,0,1,13,5,0,0,0,0,0,,0,,0,,0,,2,14,0
USD,31,0.0,1,7.0,0,,0,1,5,5,1,0,0,1,0,,0,,0,,0,,2,15,0
USD,155,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,0,15,0
USD,31,0.0,1,1.0,0,,0,1,5,5,1,1,12,1,0,,0,,0,,0,,2,15,0
USD,30,1.0,1,4.0,0,,0,1,13,12,0,1,5,1,0,,0,,0,,0,,2,15,0
EUR,119,0.0,1,1.0,1,1.0,3.2,0,8,8,1,1,7,1,0,,1,0.0,1,0.0,0,,2,4,1
EUR,46,0.0,0,,0,,0,1,6,7,1,1,5,1,0,,0,,0,,0,,2,15,0
USD,31,0.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,15,0
EUR,46,5.0,1,5.0,0,,0,1,12,12,1,1,12,0,0,,0,,0,,0,,2,15,0
USD,69,0.0,1,1.0,0,,0,1,8,8,1,0,0,1,0,,0,,0,,0,,2,15,0
USD,28,0.0,0,,0,,0,1,6,6,0,1,12,0,0,,0,,0,,0,,2,15,0
USD,31,0.0,1,5.0,1,6.0,2,3,7,9,1,1,6,1,0,,0,,0,,0,,2,6,1
EUR,46,0.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,15,0
USD,129,0.0,1,1.0,0,,0,1,7,5,1,1,13,0,0,,0,,0,,0,,2,15,0
USD,31,0.0,0,,0,,0,1,12,13,0,0,0,0,0,,0,,0,,0,,2,15,0
USD,8,0.0,0,,0,,0,1,12,12,1,0,0,0,0,,0,,0,,0,,2,15,0
EUR,46,0.0,0,,0,,0,1,12,9,1,1,12,0,0,,0,,0,,0,,2,15,0
USD,46,0.0,1,0.0,1,1.0,7.8,5,7,7,1,1,8,1,0,,0,,0,,0,,2,1,1
USD,113,0.0,0,,0,,0,1,13,13,1,1,13,1,0,,0,,0,,0,,2,15,0
EUR,46,0.0,1,1.0,0,,0,1,13,13,0,1,12,0,0,,0,,0,,0,,2,15,0
EUR,46,0.0,1,0.0,0,,0,1,6,5,1,1,6,1,0,,0,,0,,0,,2,15,0
USD,31,0.0,1,13.0,0,,0,1,12,6,1,0,0,1,0,,0,,0,,0,,2,15,0
EUR,46,0.0,1,0.0,1,7.0,18.78364,5,6,6,1,0,0,1,0,,0,,0,,0,,2,15,0
USD,84,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,15,0
USD,8,0.0,1,1.0,0,,0,1,13,5,0,0,0,0,0,,0,,0,,0,,2,15,0
USD,111,0.0,0,,0,,0,1,12,12,0,1,12,0,0,,0,,0,,0,,2,15,0
EUR,46,1.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,16,0
EUR,46,0.0,1,7.0,1,9.0,2,0,5,5,0,0,0,1,0,,0,,0,,0,,2,16,0
USD,28,1.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,16,0
USD,28,0.0,1,1.0,0,,0,1,12,5,0,0,0,0,0,,0,,0,,0,,2,16,0
EUR,53,0.0,1,1.0,1,6.0,37.82824,5,11,11,0,1,11,0,0,,0,,0,,0,,2,16,0
EUR,46,0.0,1,1.0,1,2.0,5.6,0,13,7,1,1,12,0,0,,1,0.0,1,1.0,0,,2,2,1
GBP,53,0.0,1,0.0,0,,0,1,9,9,1,1,8,1,0,,0,,0,,0,,2,16,0
EUR,46,14.0,1,16.0,0,,0,1,7,7,1,1,6,1,0,,0,,0,,0,,2,16,0
EUR,116,0.0,1,0.0,1,5.0,14,5,6,6,0,1,13,0,0,,1,0.0,0,,0,,0,13,1
EUR,46,0.0,1,0.0,1,0.0,2.4,0,13,13,1,1,12,0,0,,0,,0,,0,,2,0,1
USD,125,0.0,1,0.0,0,,0,1,5,6,1,1,13,1,0,,0,,0,,0,,2,16,0
USD,30,0.0,1,7.0,1,9.0,4,5,10,10,0,1,10,0,0,,0,,0,,0,,2,14,1
USD,100,0.0,0,,0,,0,1,12,13,1,1,12,0,0,,0,,0,,0,,2,16,0
USD,43,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,16,0
USD,53,0.0,0,,0,,0,1,5,6,1,1,5,1,0,,0,,0,,0,,2,17,0
USD,160,1.0,0,,0,,0,1,5,5,1,0,0,0,0,,0,,0,,0,,2,17,0
EUR,46,0.0,1,1.0,1,1.0,2,0,13,6,0,0,0,0,0,,1,0.0,0,,0,,0,1,1
EUR,46,0.0,1,1.0,1,6.0,2,5,6,6,1,1,12,1,0,,0,,0,,0,,2,17,0
USD,31,0.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,17,0
EUR,46,0.0,0,,0,,0,1,6,5,1,0,0,0,0,,0,,0,,0,,2,17,0
USD,100,0.0,0,,0,,0,1,8,13,1,0,0,1,0,,0,,0,,0,,0,17,0
EUR,46,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,17,0
USD,111,0.0,0,,0,,0,1,5,5,0,0,0,0,0,,0,,0,,0,,2,17,0
EUR,77,0.0,1,1.0,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,0,17,0
EUR,46,0.0,0,,0,,0,1,13,5,0,0,0,0,0,,0,,0,,0,,2,17,0
USD,10,0.0,1,1.0,0,,0,1,8,8,1,1,10,1,0,,0,,0,,0,,1,17,0
EUR,161,0.0,1,1.0,0,,0,1,8,7,0,1,5,1,0,,0,,0,,0,,0,17,0
USD,99,0.0,0,,0,,0,1,13,13,0,1,13,1,0,,0,,0,,0,,2,17,0
USD,74,0.0,0,,0,,0,1,6,5,1,1,12,1,0,,0,,0,,0,,0,17,0
EUR,88,0.0,0,,0,,0,1,11,11,1,1,11,0,0,,0,,0,,0,,2,17,0
USD,111,3.0,1,6.0,1,7.0,2,4,7,7,1,1,13,0,0,,0,,0,,0,,2,17,0
USD,160,5.0,1,7.0,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,17,0
USD,28,0.0,1,0.0,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,0,17,0
USD,28,0.0,0,,0,,0,1,13,6,1,0,0,0,0,,0,,0,,0,,2,17,0
EUR,37,0.0,1,3.0,1,9.0,20,5,9,7,1,1,8,0,0,,0,,0,,0,,2,18,0
USD,69,0.0,1,1.0,1,16.0,40,5,8,8,1,0,0,0,0,,0,,0,,0,,2,17,1
USD,8,0.0,0,,0,,0,1,13,5,0,0,0,0,0,,0,,0,,0,,2,18,0
USD,160,0.0,1,3.0,0,,0,1,6,5,1,1,5,1,0,,0,,0,,0,,2,18,0
USD,43,0.0,1,0.0,0,,0,1,12,12,1,0,0,0,0,,0,,0,,0,,2,18,0
EUR,46,0.0,0,,0,,0,1,13,5,1,1,12,1,0,,0,,0,,0,,2,18,0
