user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_experience,mifid_money_other_brokers,mifid_invested_other_brokers,user_flow_name,first_trade_investor_account_demo_days,conversion
EUR,21,0,1,0,0,,0,1,5,5,0,0,1,13,2,0,0
EUR,36,0,0,,0,,0,1,12,12,1,0,0,0,3,,0
USD,24,0,0,,0,,0,1,7,5,0,1,1,7,3,,0
USD,77,0,1,0,0,,0,1,12,7,0,1,0,0,3,,0
EUR,36,0,0,,0,,0,1,7,7,1,1,1,6,3,,0
USD,112,0,0,,0,,0,1,0,0,0,0,0,0,3,0,0
USD,85,0,0,,0,,0,1,12,12,1,1,1,12,3,,0
EUR,36,0,1,22,1,24,11.57496720425958793116752836,5,12,5,1,0,0,0,3,,0
USD,85,0,1,1,0,,0,1,12,12,0,0,0,0,3,0,0
USD,33,0,1,8,0,,0,1,12,13,0,0,0,0,3,,0
EUR,36,3,1,4,0,,0,1,12,12,0,0,0,0,3,,0
USD,120,0,0,,0,,0,1,5,6,1,1,1,13,3,,0
EUR,36,0,1,1,1,8,7.716644802839725287445018906,0,5,6,0,1,1,5,2,0,0
USD,85,0,1,1,0,,0,1,12,13,0,0,0,0,3,2,0
USD,22,0,0,,0,,0,1,13,7,1,0,0,0,3,,0
EUR,36,0,1,1,0,,0,1,5,5,0,0,0,0,3,,0
EUR,36,0,1,1,1,1,9.645806003549656609306273632,0,5,13,1,1,1,12,3,,0
USD,6,0,1,1,0,,0,1,13,13,1,0,1,12,3,,0
EUR,36,0,1,1,0,,0,1,9,10,0,1,1,5,3,,0
EUR,113,0,1,1,1,1,1.929161200709931321861254726,3,10,10,1,0,1,12,3,11,0
EUR,0,0,1,1,1,3,1.929161200709931321861254726,3,5,6,1,0,1,13,2,,0
USD,77,0,1,2,0,,0,1,12,12,0,0,0,0,3,,0
USD,77,0,0,,0,,0,1,13,5,1,1,0,0,3,,0
USD,25,0,1,2,0,,0,1,12,13,0,0,0,0,3,2,0
USD,28,0,1,3,0,,0,1,12,13,1,1,1,13,3,,0
EUR,36,0,0,,0,,0,1,12,13,0,0,0,0,3,,0
USD,6,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
USD,31,0,1,20,0,,0,1,12,12,0,0,1,12,3,20,0
EUR,58,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
USD,25,14,0,,0,,0,1,12,12,1,1,1,12,3,17,0
EUR,36,1,1,11,0,,0,1,6,7,1,1,1,13,2,0,0
EUR,81,0,1,0,0,,0,1,12,6,0,0,0,0,3,,0
EUR,100,0,0,,0,,0,1,13,6,1,0,0,0,3,,0
USD,31,0,0,,0,,0,1,12,13,1,0,1,12,2,0,0
EUR,36,34,1,34,1,34,3.086657921135890114978007562,0,12,13,1,0,0,0,3,13,0
USD,22,0,1,1,0,,0,1,12,6,0,0,0,0,3,,0
USD,23,0,0,,0,,0,1,12,12,0,0,1,12,2,0,0
EUR,6,0,1,4,1,13,0.5408210510070221467705841500,5,7,6,1,1,1,7,3,,0
USD,22,0,1,0,1,0,3.858322401419862643722509453,3,6,7,1,0,1,6,2,0,0
USD,6,0,1,0,0,,0,1,12,13,1,0,1,12,3,0,0
USD,25,0,0,,0,,0,1,12,5,0,0,0,0,3,,0
EUR,36,0,1,11,0,,0,1,13,13,0,0,0,0,3,,0
USD,25,0,1,1,0,,0,1,12,13,0,0,0,0,3,0,0
EUR,36,0,1,7,1,7,1.929161200709931321861254726,0,12,12,0,0,0,0,3,,0
USD,87,0,1,0,1,1,1.929161200709931321861254726,3,13,5,0,0,1,7,3,,0
USD,41,0,0,,0,,0,1,12,5,0,1,1,12,3,,0
USD,22,0,1,1,1,1,5.787483602129793965583764179,3,8,9,1,1,1,5,2,0,0
USD,22,0,1,2,0,,0,1,13,13,0,0,0,0,3,,0
EUR,0,0,1,6,1,10,3.858322401419862643722509453,3,9,9,1,0,1,8,2,0,0
USD,106,0,0,,0,,0,1,12,13,0,1,0,0,3,,0
EUR,36,0,1,0,1,12,11.57496720425958793116752836,0,5,5,0,0,0,0,3,,0
USD,120,0,0,,0,,0,1,8,7,1,1,0,0,3,6,0
USD,22,0,1,1,0,,0,1,7,7,0,0,1,6,3,0,0
EUR,41,1,0,,0,,0,1,10,13,1,1,0,0,3,0,0
EUR,0,0,1,1,1,8,1.929161200709931321861254726,3,8,9,1,1,1,8,2,0,0
USD,26,1,0,,0,,0,1,12,12,1,1,0,0,2,0,0
USD,85,0,1,1,0,,0,1,5,6,0,0,0,0,3,,0
EUR,13,0,0,,0,,0,1,12,12,1,1,1,12,3,,0
EUR,36,0,1,1,1,14,3.858322401419862643722509453,0,12,12,1,0,0,0,3,,0
USD,22,0,1,1,1,1,1.929161200709931321861254726,3,13,5,1,0,1,12,3,,0
EUR,89,0,1,1,1,1,2.893741801064896982791882090,0,13,13,1,0,1,12,3,,0
EUR,36,0,1,1,1,8,3.858322401419862643722509453,0,9,7,0,0,0,0,2,9,0
EUR,36,0,1,2,0,,0,1,8,13,1,0,1,13,3,,0
EUR,36,0,1,3,1,9,77.16644802839725287445018906,5,13,5,0,0,0,0,3,2,0
USD,106,0,1,2,0,,0,1,12,13,1,0,1,12,3,1,0
EUR,36,0,1,2,1,4,9.645806003549656609306273632,5,13,12,0,0,0,0,3,5,0
USD,120,0,0,,0,,0,1,12,5,0,0,1,13,3,,0
EUR,58,0,1,3,0,,0,1,8,8,1,0,0,0,3,,0
EUR,36,20,0,,0,,0,1,12,12,0,0,0,0,3,0,0
EUR,7,0,1,3,0,,0,1,6,6,1,0,1,6,3,,0
USD,87,0,0,,0,,0,1,5,5,1,0,1,12,3,,0
USD,41,0,1,1,1,1,11.57496720425958793116752836,0,9,9,1,0,1,5,3,0,1
EUR,36,0,0,,0,,0,1,12,12,1,0,1,12,3,0,0
EUR,36,0,1,1,0,,0,1,13,13,1,0,1,12,3,0,0
EUR,36,0,1,1,1,6,15.43328960567945057489003781,5,7,8,0,0,0,0,3,,0
EUR,36,0,1,0,0,,0,1,12,12,1,0,1,12,3,0,0
USD,6,0,0,,0,,0,1,12,12,1,0,0,0,3,,0
EUR,36,13,1,20,1,21,1.929161200709931321861254726,0,6,7,1,0,1,12,3,0,0
EUR,36,0,1,1,1,1,9.645806003549656609306273632,0,5,13,1,1,1,12,3,,1
USD,25,0,0,,0,,0,1,5,5,1,1,0,0,3,,0
USD,77,0,1,1,0,,0,1,5,5,1,0,0,0,3,,0
USD,117,0,0,,0,,0,1,8,7,1,1,1,12,3,0,0
USD,77,0,1,0,0,,0,1,5,13,1,1,1,13,3,0,0
USD,77,0,1,1,1,9,1.929161200709931321861254726,3,5,5,1,0,0,0,3,,0
EUR,36,0,1,1,0,,0,1,12,12,1,0,1,12,3,1,0
EUR,36,0,1,0,0,,0,1,6,8,1,0,1,12,3,,0
EUR,36,0,0,,0,,0,1,12,5,0,0,0,0,3,,0
USD,25,0,0,,0,,0,1,12,12,0,0,1,12,3,,0
USD,77,0,0,,0,,0,1,12,13,1,0,0,0,3,,0
USD,8,26,1,26,0,,0,1,6,5,1,1,1,5,3,,0
EUR,36,0,0,,0,,0,1,5,6,0,0,1,12,3,,0
USD,49,0,0,,0,,0,1,12,12,1,0,0,0,3,,0
USD,25,2,1,4,0,,0,1,12,12,1,0,0,0,3,2,0
USD,77,0,1,5,1,11,1.929161200709931321861254726,3,13,5,1,0,0,0,3,,0
USD,85,0,0,,0,,0,1,12,13,1,1,1,12,3,,0
USD,33,0,0,,0,,0,1,13,12,0,0,0,0,3,0,0
EUR,36,0,0,,0,,0,1,6,6,1,0,1,13,3,0,0
USD,46,0,0,,0,,0,1,12,13,0,0,0,0,3,,0
USD,114,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
USD,77,0,1,0,0,,0,1,10,10,0,1,1,10,3,,0
USD,6,1,0,,0,,0,1,12,12,0,0,0,0,3,,0
EUR,36,0,1,0,1,0,1.929161200709931321861254726,0,5,7,0,0,0,0,3,,1
EUR,68,0,0,,0,,0,1,12,12,1,1,1,12,3,,0
EUR,36,0,1,1,1,12,19.29161200709931321861254726,5,7,6,0,0,1,6,3,,0
USD,25,0,0,,0,,0,1,12,6,0,0,0,0,3,0,0
EUR,38,0,0,,0,,0,1,12,12,0,0,0,0,3,0,0
USD,22,0,1,1,0,,0,1,12,12,0,0,0,0,3,8,0
USD,117,0,0,,0,,0,1,5,7,1,1,1,7,3,,0
EUR,36,1,1,2,1,6,1.929161200709931321861254726,0,8,9,0,0,1,6,3,1,1
USD,22,6,0,,0,,0,1,12,12,1,0,1,12,2,0,0
EUR,36,0,1,1,1,1,1.929161200709931321861254726,0,12,12,1,0,0,0,3,,1
EUR,36,0,0,,0,,0,1,12,12,1,1,1,12,3,,0
USD,120,0,0,,0,,0,1,12,12,0,0,0,0,3,,0
EUR,36,14,1,15,0,,0,1,8,7,0,0,1,5,3,0,0
EUR,25,0,1,1,0,,0,1,12,12,0,0,0,0,3,,0
USD,33,0,1,3,1,3,1.929161200709931321861254726,3,13,13,0,0,0,0,3,0,1
USD,61,3,1,4,1,4,1.929161200709931321861254726,3,7,12,1,0,1,6,3,0,1
USD,22,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
EUR,36,0,1,1,0,,0,1,12,5,0,0,0,0,3,,0
USD,120,0,1,0,0,,0,1,12,12,1,1,0,0,3,,0
EUR,36,0,0,,0,,0,1,13,13,1,1,1,13,3,0,0
USD,106,0,0,,0,,0,1,6,7,1,0,0,0,3,,0
USD,105,0,0,,0,,0,1,12,5,1,1,1,12,3,17,0
GBP,41,0,1,2,0,,0,1,12,7,0,0,1,12,3,40,0
USD,25,0,0,,0,,0,1,12,12,1,1,1,12,3,,0
USD,77,0,0,,0,,0,1,9,12,0,0,0,0,3,,0
EUR,36,0,1,2,0,,0,1,6,5,0,0,0,0,3,,0
